"language"	"langcode"	"family"	"location"	"core inventory"	"marginal inventory"	"reference"
"Agta"	"AGTA"	"AUSTRONESIAN"	"Philippines"	"p,t,k,ʔ,b,d,ɡ,i,u,ɸ,s,h,e,o,β,z,a,m,n,ŋ,ɾ,l,w,j,"		"Healey, Phyllis M. (1960) An Agta Grammar. Manila: Bureau of Printing"
"Ainu"	"AINU"	"LANGUAGE ISOLATE"	"Japan"	"p,t,tʃ,k,ʔ,m,n,i,u,s,h,e,o,r,a,w,j,"		"Shibatani, Masayoshi (1990) The Languages of Japan. Cambridge University Press.\nReference,Tamura, Suzuko (2000) The Ainu language. Tokyo: Sanseido."
"Akan"	"AKAN"	"NIGER-CONGO (Kwa)"	"Ghana"	"p,t,tɕ,tɕɥ,k,kʷ,ĩ,ũ,i,u,b,d,dz,dʑ,dʑɥ,ɡ,ɡʷ,ẽ̝,õ̝,e̝,o̝,f,s,sʲ,sʷ,ɕ,ɕɥ,h,hʷ,e,o,m,n,ɲ,ɲɥ,ŋ,ŋʷ,ɛ,ɔ,l,ã,a,w,ɹ,j,ɥ,"	"a̝,r,"	"Dolphyne, Florence Abena (1988) The Akan (Twi-Fante) Language: Its Sound Systems and Tonal Structure. Accra: Ghana Universities Press."
"Akan (Akuapem)"	"AKAK"	"NIGER-CONGO (Kwa)"	"Ghana"	"p,t,tɕ,tɕɥ,k,kʷ,ĩ,ũ,i,u,b,d,dʑ,dʑɥ,ɡ,ɡʷ,ẽ̝,õ̝,e̝,o̝,f,s,sʲ,sʷ,ɕ,ɕɥ,h,hʷ,e,o,m,n,ɲ,ɲɥ,ŋ,ŋʷ,ɛ,ɔ,l,a̝,ã,a,w,ɹ,j,ɥ,"		"Dolphyne, Florence Abena (1988) The Akan (Twi-Fante) Language: Its Sound Systems and Tonal Structure. Accra: Ghana Universities Press."
"Akan (Akuapem, Asante)"	"AKAA"	"NIGER-CONGO (Kwa)"	"Ghana"	"p,t,tɕ,tɕɥ,k,kʷ,ĩ,ũ,i,u,b,d,dʑ,dʑɥ,ɡ,ɡʷ,ẽ̝,õ̝,e̝,o̝,f,s,sʲ,sʷ,ɕ,ɕɥ,h,hʷ,e,o,m,n,ɲ,ɲɥ,ŋ,ŋʷ,ɛ,ɔ,l,a̝,ã,a,w,ɹ,j,ɥ,"	"r,"	"Dolphyne, Florence Abena (1988) The Akan (Twi-Fante) Language: Its Sound Systems and Tonal Structure. Accra: Ghana Universities Press."
"Akan (Asante)"	"AKAS"	"NIGER-CONGO (Kwa)"	"Ghana"	"p,t,tɕ,tɕɥ,k,kʷ,ĩ,ũ,i,u,b,d,dʑ,dʑɥ,ɡ,ɡʷ,ẽ̝,õ̝,e̝,o̝,f,s,sʲ,sʷ,ɕ,ɕɥ,h,hʷ,e,o,m,n,ɲ,ɲɥ,ŋ,ŋʷ,ɛ,ɔ,l,a̝,r,ã,a,w,ɹ,j,ɥ,"		"Dolphyne, Florence Abena (1988) The Akan (Twi-Fante) Language: Its Sound Systems and Tonal Structure. Accra: Ghana Universities Press."
"Akan (Fante)"	"AKAF"	"NIGER-CONGO (Kwa)"	"Ghana"	"p,t,tɕ,tɕɥ,k,kʷ,ĩ,ũ,i,u,b,d,dʑ,dʑɥ,ɡ,ɡʷ,ẽ̝,õ̝,e̝,o̝,f,s,sʲ,sʷ,ɕ,ɕɥ,h,hʷ,e,o,m,n,ɲ,ɲɥ,ŋ,ŋʷ,ɛ,ɔ,l,ã,a,w,ɹ,j,ɥ,"		"Dolphyne, Florence Abena (1988) The Akan (Twi-Fante) Language: Its Sound Systems and Tonal Structure. Accra: Ghana Universities Press."
"Alabama"	"ALAB"	"MUSKOGEAN"	"USA"	"p,t,tʃ,k,b,iː,oː,f,ɬ,s,h,i,o,m,n,aː,l,a,j,w,"		"Lupardus, Karen Jacque (1982) The Language of the Alabama Indians. Ann Arbor: UMI."
"Albanian"	"ALBA"	"INDO-EUROPEAN"	"Albania"	"p,t,ts,tʃ,c,k,b,d,dz,dʒ,ɟ,ɡ,i,y,u,f,θ,s,ʃ,e,ə,o,v,ð,z,ʒ,a,m,n,ɲ,ŋ,l,ʎ,ɾ,r,w,j,h,"		"Bevington, Gary Loyd (1974) Albanian Phonology. Wiesbaden: Otto Harrassowitz."
"Alyawarra"	"ALYA"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"p,t̪,t,ʈ,c,k,p,t̪ⁿ,tⁿ,ʈⁿ,c,k,i,u,m,n̪,n,ɳ,ɲ,ŋ,a,l̪,l,ɭ,ʎ,ɾ,w,ɽ,j,ij,aj,uw,"		"Yallop, Colin (1977) Alyawarra. Canberra: Advocate Press Pty Ltd."
"Amele"	"AMEL"	"TRANS-NEW GUINEA"	"Papua New Guinea"	"t,k,ʔ,b,d,ɡ,ɡ͡b,i,u,f,s,h,e,o,m,n,a,l,w,j,"		"Roberts, John R. (1987) Amele. New York: Croom Helm."
"Amharic"	"AMHA"	"AFRO-ASIATIC (Semitic)"	"Ethiopia"	"p,t̪,tʃ,k,kʷ,ʔ,b,d̪,dʒ,ɡ,ɡʷ,i,ɨ,u,pʼ,t̪ʼ,tʃʼ,kʼ,kʷʼ,e,ə,o,f,s̪,ʃ,h,hʷ,a,z̪,ʒ,s̪ʼ,m,n̪,ɲ,l,ɾ,j,w,"		"Leslau, Wolf (2000) Introductory Grammar of Amharic. Wiesbaden: Harrassowitz Verlag."
"Angami"	"ANGA"	"SINO-TIBETAN"	"India"	"pʰ,tʰ,p,t,b,d,pfʰ,tsʰ,tʃʰ,i,u,pf,ts,tʃ,e,ə,o,bv,dz,dʒ,a,f,s,ʃ,h,v,z,ʒ,mʰ,nʰ,ɲʰ,i̯o,i̯e,u̯o,m,n,ɲ,ŋ,e̯o,ə̯i,o̯u,lʰ,rʰ,l,r,wʰ,jʰ,w,j,"		"Giridhar, P. P. (1980) Angami Grammar. Mysore: Central Institute of Indian Languages."
"Anywa (aka Anuak)"	"ANYW"	"NILO-SAHARAN (Nilotic)  "	"Sudan and Ethiopia"	"p,t̪θ,t,tʲ,k,i̤ː,i̤,i̤e̤,ṳo̤,ṳː,ṳ,b,d̪ð,d,dʲ,ɡ,ɪː,ɪ,ɪɛ,ʊɔ,ʊː,ʊ,m,n,ɲ,ŋ,e̤ː,e̤,o̤ː,o̤,l,ɛː,ɛ,ɔː,ɔ,r,ʌ̤ː,ʌ̤,w,j,aː,a,"	"n̪,"	"Reh, Mchthild (1996) Anywa Language. Köln: Rüdiger Köppe Verlag."
"Ao"	"AOXX"	"SINO-TIBETAN"	"India"	"p,t,k,ʔ,ts,i,ɯ,u,s,e,o,z,ʐ,a,m,n,ŋ,l,w,j,"		"Gowda, K. S. Gurubasave (1991) Ao Grammar. Mysore: Central Institute of Indian Languages."
"Aoma"	"AOMA"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,ĩ,u,ũ,f,s,x,h,e,o,v,z,ɣ,ɛ,ɛ̃,ɔ,ɔ̃,m,a,ã,r,l,ɹ,j,w,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Apatani"	"APAT"	"SINO-TIBETAN"	"India"	"p,t,k,b,d,ɡ,tʃ,i,ɨ,u,dʒ,e,o,s,x,h,a,m,n,ŋ,r,l,j,"		"Abraham, P. T. (1985) Apatani Grammar. Mysore: Central Institute of Indian Languages."
"Arabana"	"ARAB"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"p,t̪,t,ʈ,c,k,m,n̪,n,ɳ,ɲ,ŋ,i,u,l̪,l,ɭ,ʎ,a,ɾ,r,w,ɻ,j,"		"Hercus, Luise A. (1994) A Grammar of the Arabana-Wangkangurru Language, Lake Eyre Basin, South Australia. Canberra: Pacific Linguistics."
"Arabic, Abha"	"ABHA"	"AFRO-ASIATIC (Semitic)"	"Saudi Arabia"	"t,tˠ,k,ʔ,b,d,dˠ,ɟʝ,ɡ,iː,uː,f,θ,s,sˠ,ç,x,ħ,h,i,u,ð,ðˠ,z,ɣ,ʕ,eː,oː,m,n,aː,l,lˠ,a,ɾ,w,j,"		"Nakshabandi, Anwar Mohammed H. (1988) A descriptive study of the phonology and morphology of the Abha dialect. Ann Arbor: UMI."
"Arabic, Egyptian"	"EGYP"	"AFRO-ASIATIC (Semitic)"	"Egypt"	"t̪,t̪ˤ,k,ʔ,b,d̪,d̪ˤ,ɡ,iː,uː,f,s̪,s̪ˤ,ç,χ,ħ,h,i,u,z̪,z̪ˤ,ʁ,ʕ,eː,oː,m,n̪,aː,l̪,l̪ˤ,a,ɾ̪,ɾ̪ˤ,w,j,"	"q,"	"Broselow, Ellen I. (1976) Phonology of Egyptian Arabic. UMass PhD dissertation."
"Arabic, Jordanian"	"JORD"	"AFRO-ASIATIC (Semitic)"	"Jordan"	"t̪,t̪ˤ,tʃ,k,ʔ,b,d̪,dʒ,ɡ,iː,uː,f,θ,s̪,s̪ˤ,ʃ,x,ħ,h,i,u,ð,ðˤ,z̪,ɣ,ʕ,æː,m,n,æ,l,ɾ,w,j,"		"Al-Sughayer, Khalil Ibrahim (1990) Aspects of Comparative Jordanian and Modern Standard Arabic Phonology. Ann Arbor: UMI."
"Arabic, Libyan"	"LIBY"	"AFRO-ASIATIC (Semitic)"	"Libya"	"t̪,tˤ,k,b,d̪,ɡ,iː,uː,f,s̻,s̻ˤ,ʃ,x,ħ,h,i,u,z̻,z̻ˤ,ʒ,ɣ,ʕ,eː,oː,m,n,æː,aː,l,æ,a,ɾ,w,j,"	"q,ʔ,θ,v,ð,ðˤ,"	"Abumdas, Abdul Hamid Ali (1985) Libyan Arabic Phonology. Ann Arbor: UMI."
"Arabic, Moroccan"	"MORO"	"AFRO-ASIATIC (Semitic)"	"Morocco"	"t,tˤ,k,q,ʔ,b,d,dˤ,ɡ,iː,uː,f,s,sˤ,ʃ,x,ħ,h,u,z,ʒ,ɣ,ʕ,e,m,n,æː,l,ɾ,w,j,"		"Keegan, John M. (1986) The Phonology and Morphology of Moroccan Arabic. Ann Arbor: UMI."
"Arabic, Moroccan (Northern)"	"MORN"	"AFRO-ASIATIC (Semitic)"	"Morocco"	"t,tˤ,k,q,ʔ,b,d,dˤ,ɡ,iː,uː,f,s,sˤ,ʃ,x,ħ,h,u,z,ʒ,ɣ,ʕ,e,m,n,æː,l,ɾ,w,j,"		"Keegan, John M. (1986) The Phonology and Morphology of Moroccan Arabic. Ann Arbor: UMI."
"Arabic, Muscat"	"MUSC"	"AFRO-ASIATIC (Semitic)"	"Oman"	"t,tˤ,kʲ,q,ʔ,b,d,ɡʲ,iː,uː,i,u,f,θ,s,sˤ,ç,χ,ħ,h,eː,oː,ð,ðˤ,z,ʁ,ʕ,aː,m,n,a,l,ɾ,j,w,"	"cç,"	"Glover, Bonnie Carol (1989) The Morphophonology of Muscat Arabic. Ann Arbor: UMI."
"Arabic, North Israel Bedouin"	"ANIB"	"AFRO-ASIATIC (Semitic)"	"NIBA"	"t̪,t̪ˤ,k,ʔ,b,bˤ,d̪,ɡ,ɡˤ,iː,uː,tʃ,i,u,dʒ,ɟʝ,e,o,f,fˤ,θ,s̪,s̪ˤ,ʃ,x,ħ,h,ə,ð,z̪,ɣ,ʕ,aː,m,mˤ,ðˤ,n,nˤ,a,l̪,l̪ˤ,ɾ,ɾˤ,w,wˤ,j,"	"kˤ,q,d̪ˤ,z̪ˤ,ʒ,"	"Rosenhouse, Judith (1984) Bedouin Arabic Dialects. Wiesbaden: Otto Harrassowitz."
"Arapesh"	"ARAP"	"TORRICELLI"	"Papua New Guinea"	"p,t̪,k,b,d̪,dʒ,ɡ,i,y,u,s,ʃ,h,e,ø,o,m,n,ɲ,a,l,w,j,"		"Fortune, R. F. (1977) Arapesh. New York: J. J. Augustin Publisher."
"Arbore"	"ARBO"	"AFRO-ASIATIC (Cushitic)"	"Ethiopia"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,tʼ,tʃʼ,kʼ,ʔ,ɛ,ɔ,ɓ,ɗ,a,f,s,ʃ,h,z,m,n,ɲ,ŋ,ɾ,l,w,j,"		"Hayward, Dick (1984) The Arbore Language: A First Investigation, Including a Vocabulary. Hamburg: Helmut Buske Verlag."
"Argobba"	"ARGO"	"AFRO-ASIATIC (Semitic)"	"Ethiopia"	"t̪,tʃ,k,kʷ,ʔ,b,bʷ,d̪,dʒ,ɡ,ɡʷ,i,ɨ,u,pʼ,t̪ʼ,tʃʼ,kʼ,kʷʼ,e,ə,o,a,f,s̪,ʃ,h,z̪,ʒ,s̪ʼ,m,n̪,ɲ,l̪,ɾ̪,w,j,"		"Leslau, Wolf (1997) Ethiopic Documents: Argobba Grammar and Dictionary. Wiesbaden: Harrassowitz Verlag."
"Armenian, Agn"	"ARGN"	"INDO-EUROPEAN"	"Armenia"	"pʰ,tʰ,kʰ,b,d,ɡ,i,y,u,tsʰ,tʃʰ,ɛ,ø,ɔ,dz,dʒ,a,f,s,ʃ,χ,h,v,z,ʒ,ʁ,m,n,ɾ,r,l,j,"		"Vaux, Bert (1998) The Phonology of Armenian. Oxford: Clarendon Press."
"Armenian, Agulis"	"ARGU"	"INDO-EUROPEAN"	"Armenia"	"pʰ,tʰ,kʰ,b,d,ɡ,i,y,u,tsʰ,tʃʰ,e,ø,o,dz,dʒ,œ,a,f,s,ʃ,χ,h,z,ʒ,ʁ,uj,m,n,ej,oj,ɾ,aj,r,l,"		"Vaux, Bert (1998) The Phonology of Armenian. Oxford: Clarendon Press."
"Armenian, Homshetsma"	"ARMH"	"INDO-EUROPEAN"	"Turkey and Georgia"	"pʰ,tʰ,kʰ,b,d,ɡ,i,u,tsʰ,tʃʰ,ɛ,ɔ,dz,dʒ,a,f,s,ʃ,χ,h,z,ʒ,ʁ,m,n,ɾ,ɹ,l,"		"Vaux, Bert (1998) The Phonology of Armenian. Oxford: Clarendon Press."
"Armenian, Karchevian"	"ARKA"	"INDO-EUROPEAN"	"Armenia?"	"pʰ,tʰ,kʰ,b,d,ɡ,i,y,ɨ,u,tsʰ,tʃʰ,e,ø,o,dz,dʒ,ɛ,œ,a,f,s,ʃ,χ,h,z,ʒ,ʁ,m,n,ɾ,l,"		"Vaux, Bert (1998) The Phonology of Armenian. Oxford: Clarendon Press."
"Armenian, Kirzan"	"ARKI"	"INDO-EUROPEAN"	"Azerbaijan"	"pʰ,tʰ,kʰ,b,d,ɡ,i,u,tsʰ,tʃʰ,ɛ,ɔ,dz,dʒ,a,f,s,ʃ,χ,h,z,ʒ,ʁ,m,n,ɾ,l,"		"Vaux, Bert (1998) The Phonology of Armenian. Oxford: Clarendon Press."
"Armenian, Marash"	"ARMM"	"INDO-EUROPEAN"	"Turkey"	"pʰ,tʰ,kʰ,b,d,ɡ,i,y,u,tsʰ,tʃʰ,e,ø,o,dz,dʒ,ɛ,f,s,ʃ,χ,h,a,z,ʒ,ʁ,m,n,ɾ,l,"		"Vaux, Bert (1998) The Phonology of Armenian. Oxford: Clarendon Press."
"Armenian, Standard Eastern"	"ARMS"	"INDO-EUROPEAN"	"Armenia"	"pʰ,tʰ,kʰ,b,d,ɡ,i,u,tsʰ,tʃʰ,ɛ,ɔ,dz,dʒ,a,f,s,ʃ,χ,h,z,ʒ,ʁ,m,n,ɾ,l,"		"Vaux, Bert (1998) The Phonology of Armenian. Oxford: Clarendon Press."
"Ashuku"	"ASHU"	"NIGER-CONGO"	"Cameroon and Nigeria"	"p,t,k,k͡p,ts,b,d,ɡ,ɡ͡b,i,ĩ,ɯ,ɯ̃,u,ũ,dz,ɨ,ɨ̃,f,s,h,ɛ,ɛ̃,ʌ,ʌ̃,ɔ,ɔ̃,v,z,a,ã,m,n,ŋ,r,w,j,"		"Shimizu, Kiyoshi (1980a) Comparative Jukunoid. Vol 1. Wien: Beiträge zur Afrikanistik."
"Asmat (Flamingo Bay Dialect)"	"ASMA"	"TRANS-NEW GUINEA"	"Indonesia (Irian Jaya)"	"p,t,tʃ,k,f,s,i,u,m,n,e,ə,o,ɾ,a,w,j,"		"Voorhoeve, C. L. (1965) The Flamingo Bay Dialect of the Asmat Language. S-Gravenhage – Martinus Nijhoff."
"Assiniboine"	"ASSI"	"SIOUAN"	"Canada"	"p,t̪,tʃ,k,s,ʃ,x,h,i,ĩ,u,ũ,z,ʒ,ɣ,e,o,m,n̪,a,ã,w,j,"		"Levin, Norman Balfour (1961) The Assiniboine Language. Ann Arbor: UMI."
"Assyrian Neo-Aramaic (Iraqi Koine)"	"ANAI"	"AFRO-ASIATIC (Semitic)"	"Iraq"	"pʰ,tʰ,tʃʰ,cʰ,p,t,tʃ,c,q,ʔ,i,u,b,d,dʒ,ɟ,ɪ,s,ʃ,χ,h,e,o,z,ʒ,ʁ,a,m,n,l,ɾ,ɥ,j,"		"Odisho, Edward Y. (1988) Sound System of Modern Assyrian (Neo-Aramaic). Wiesbaden: Harrassowitz Verlag."
"Assyrian Neo-Aramaic (Jilu dialect)"	"ANAJ"	"AFRO-ASIATIC (Semitic)"	"Iraq"	"p,pˤ,t,tˤ,tʃ,tʃˤ,k,q,b,d,dʒ,ɡ,i,u,s,sˤ,ʃ,x,e,o,z,ʒ,ɣ,ɛ,m,n,h,a,l,r,w,j,"		"Fox, Samuel Ethan (1997) The Neo-Aramaic Dialect of Jilu. Wiesbaden: Harrassowitz Verlag."
"Auchi (Yekhee)"	"AUCH"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,u,ts,k̂,k̂͡p̂,e,o,dz,ɡ̂,ɡ̂͡b̂,ɛ,ɔ,f,s,a,v,m,n,m̂,r,ɺ,ʋ,j,w,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Auyana"	"AUYA"	"TRANS-NEW GUINEA"	"Papua New Guinea"	"p,t,k,kʷ,ʔ,b,d,ɡ,ɡʷ,i,u,s,e,ə,o,m,n,a,w,j,"		"McKaughan, Howard, and Doreen Marks (1973) Notes on Auyana Phonology and Morphology. McKaughan, Howard (ed.) (1973) The Languages of the Eastern Family of the East New Guinea Highland Stock. Seattle: University of Washington Press."
"Awa"	"AWAX"	"TRANS-NEW GUINEA"	"Papua New Guinea"	"p,t,k,ʔ,b,d,ɡ,i,u,s,e,o,m,n,æ,a,ɒ,w,j,"		"Loving, Richard (1973) Awa Phonemes, Tonemes, and Tonally Differentiated Allomorphs. In McKaughan, Howard (ed.) (1973) The Languages of the Eastern Family of the East New Guinea Highland Stock. Seattle: University of Washington Press."
"Axininca Campa (Asháninca)"	"AXIN"	"ARAWAKAN"	"Peru"	"tʰ,p,t,k,i,tsʰ,tçʰ,o,ts,tç,a,s,ç,h,m,n,ɲ,ŋ,r,rʲ,w,j,ɰ,"		"Payne, David L. (1981) The Phonology and Morphology of Axininca Campa. Arlington: The Summer Institute of Linguistics and The University of Texas at Arlington."
"Aymara"	"AYMA"	"AYMARAN"	"Bolivia and Peru"	"pʰ,tʰ,tʃʰ,kʰ,qʰ,p,t,tʃ,k,q,i,u,pʼ,tʼ,tʃʼ,kʼ,qʼ,a,s,χ,h,m,n,ɲ,iː,uː,l,ʎ,aː,ɾ,w,j,"		"Davidson, Joseph O. Jr. (1977) A Contrastive Study of the Grammatical Structures of Aymara and Cuzco Kechua. Ann Arbor: UMI."
"Azari, Iranian (South Azerbaijani)"	"AZAR"	"ALTAIC (Turkic)"	"Iran"	"p,t̪,tʃ,kʲ,ʔ,b,d̪,dʒ,ɡ,i,y,ɨ,u,f,s,ʃ,x,h,e,ø,o,v,z,ʒ,æ,a,m,n,l,r,j,"		"Dehghani, Yavar (2000) A Grammar of Iranian Azari. Muenchen: Lincom Europa."
"Bagri"	"BAGR"	"INDO-EUROPEAN (Indo-Aryan)"	"India and Pakistan"	"pʰ,t̪ʰ,ʈʰ,cʰ,kʰ,p,t̪,ʈ,c,k,ĩː,ũː,bʰ,d̪ʰ,ɖʰ,ɟʰ,ɡʰ,iː,uː,b,d̪,ɖ,ɟ,ɡ,ɪ̃,ʊ̃,s̪,h,ɪ,ʊ,m,n̪,ɳ,ẽː,ə̃,õː,l̪,ɭ,eː,ə,oː,r̪,ɛ̃ː,ãː,ɔ̃ː,ɽ,ɛː,aː,ɔː,w,j,"		"Gusain, Lakhan (2000) Bagri. Muenchen: Lincom Europa."
"Balangao"	"BALA"	"AUSTRONESIAN"	"Philippines"	"p,t,k,ʔ,b,d,ɡ,i,ɨ,u,s,h,e,a,o,m,n,ŋ,l,w,j,"		"Shetler, Joanne (1976) Notes on Balangao Grammar. Huntington Beach, CA: Summer Institute of Linguistics"
"Banoni"	"BANO"	"AUSTRONESIAN"	"Papua New Guinea"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,v,ɣ,e,o,s,a,m,n,ŋ,r,"		"Lincoln, Peter Craig (1976) Describing Banoni, an Austronesian Language of Southwest Bougainville. Ann Arbor: UMI."
"Baré"	"BARE"	"ARAWAKAN"	"Venezuela"	"pʰ,tʰ,kʰ,p,t,tʃ,k,i,u,b,d,e,s,h,a,mʰ,nʰ,m,n,ɻ,wʰ,w,j,"	"ɡ,"	"Aikhenald, Alexandra (1995) Bare. Muenchen: Lincom Europa."
