language,dataset,split,ipa_char,count
ar,padt,dev,؟,38
ar,padt,dev,*,28
ar,padt,dev,ٕ,21
ar,padt,dev,%,14
ar,padt,dev,!,13
ar,padt,dev,+,4
ar,padt,dev,ّ,2
ar,padt,dev,ٓ,2
ar,padt,test,ː,30566
ar,padt,test,a,18784
ar,padt,test,l,12289
ar,padt,test,i,9069
ar,padt,test,m,6861
ar,padt,test,u,5598
ar,padt,test,t,5594
ar,padt,test,n,5442
ar,padt,test,r,5283
ar,padt,test,d,3997
ar,padt,test,ة,3536
ar,padt,test,s,3520
ar,padt,test,b,3477
ar,padt,test,ʕ,3352
ar,padt,test,ˤ,3231
ar,padt,test,f,2673
ar,padt,test,q,2357
ar,padt,test,ʔ,2281
ar,padt,test,h,2181
ar,padt,test,ħ,2019
ar,padt,test,k,1966
ar,padt,test,d͡ʒ,1454
ar,padt,test,ى,1199
ar,padt,test,ʃ,947
ar,padt,test,x,841
ar,padt,test,ð,805
ar,padt,test,.,769
ar,padt,test,ٔ,751
ar,padt,test,z,681
ar,padt,test,،,514
ar,padt,test,θ,513
ar,padt,test,ء,371
ar,padt,test,ɣ,352
ar,padt,test,ً,330
ar,padt,test,0,236
ar,padt,test,ts,221
ar,padt,test,ـ,206
ar,padt,test,"""",202
ar,padt,test,2,187
ar,padt,test,1,179
ar,padt,test,»,178
ar,padt,test,«,176
ar,padt,test,9,120
ar,padt,test,3,113
ar,padt,test,5,104
ar,padt,test,4,86
ar,padt,test,tʃ,83
ar,padt,test,6,81
ar,padt,test,7,67
ar,padt,test,8,63
ar,padt,test,/,56
ar,padt,test,:,54
ar,padt,test,),47
ar,padt,test,(,46
ar,padt,test,ٕ,43
ar,padt,test,%,39
ar,padt,test,-,24
ar,padt,test,ّ,21
ar,padt,test,ُ,8
ar,padt,test,",",8
ar,padt,test,؟,7
ar,padt,test,!,7
ar,padt,test,ٍ,4
ar,padt,test,e,2
ar,padt,test,o,2
ar,padt,test,dz,2
ar,padt,test,w,1
ar,padt,test,p,1
ar,padt,test,َ,1
ar,padt,test,❊,1
ar,padt,test,<,1
ar,padt,train,ː,250142
ar,padt,train,a,151185
ar,padt,train,l,97844
ar,padt,train,i,71724
ar,padt,train,m,51471
ar,padt,train,u,46496
ar,padt,train,t,44354
ar,padt,train,r,42679
ar,padt,train,n,42548
ar,padt,train,d,31592
ar,padt,train,s,29566
ar,padt,train,ة,27406
ar,padt,train,b,27032
ar,padt,train,ʕ,26807
ar,padt,train,ˤ,24956
ar,padt,train,f,20256
ar,padt,train,q,18563
ar,padt,train,h,16163
ar,padt,train,ʔ,14602
ar,padt,train,k,14599
ar,padt,train,ħ,14587
ar,padt,train,d͡ʒ,11787
ar,padt,train,ى,9975
ar,padt,train,ʃ,7306
ar,padt,train,x,6405
ar,padt,train,.,6394
ar,padt,train,ð,6005
ar,padt,train,ٔ,5671
ar,padt,train,z,5636
ar,padt,train,θ,4276
ar,padt,train,،,3893
ar,padt,train,ɣ,3197
ar,padt,train,"""",3108
ar,padt,train,ء,2979
ar,padt,train,ً,1859
ar,padt,train,1,1758
ar,padt,train,0,1706
ar,padt,train,ts,1643
ar,padt,train,2,1402
ar,padt,train,5,945
ar,padt,train,3,872
ar,padt,train,ـ,868
ar,padt,train,tʃ,827
ar,padt,train,9,784
ar,padt,train,-,774
ar,padt,train,/,635
ar,padt,train,6,605
ar,padt,train,(,597
ar,padt,train,),597
ar,padt,train,8,594
ar,padt,train,4,572
ar,padt,train,7,498
ar,padt,train,»,494
ar,padt,train,«,492
ar,padt,train,:,477
ar,padt,train,%,287
ar,padt,train,ٕ,194
ar,padt,train,ّ,113
ar,padt,train,",",97
ar,padt,train,؟,72
ar,padt,train,!,66
ar,padt,train,*,54
ar,padt,train,ُ,42
ar,padt,train,+,25
ar,padt,train,ٓ,16
ar,padt,train,َ,10
ar,padt,train,dz,10
ar,padt,train,c,10
ar,padt,train,o,6
ar,padt,train,٥,5
ar,padt,train,<,4
ar,padt,train,٣,4
ar,padt,train,ِ,3
ar,padt,train,;,3
ar,padt,train,g,3
ar,padt,train,ْ,2
ar,padt,train,{,2
ar,padt,train,ٌ,2
ar,padt,train,٤,2
ar,padt,train,٠,2
ar,padt,train,١,2
ar,padt,train,\,2
ar,padt,train,v,1
ar,padt,train,e,1
ar,padt,train,w,1
ar,padt,train,ٍ,1
ar,pud,test,ː,20977
ar,pud,test,a,12741
ar,pud,test,l,8416
ar,pud,test,i,6980
ar,pud,test,m,4619
ar,pud,test,n,4409
ar,pud,test,t,4048
ar,pud,test,u,3853
ar,pud,test,r,3648
ar,pud,test,b,2694
ar,pud,test,d,2686
ar,pud,test,s,2380
ar,pud,test,ʔ,2284
ar,pud,test,ʕ,2255
ar,pud,test,ة,2246
ar,pud,test,ˤ,1942
ar,pud,test,k,1853
ar,pud,test,f,1792
ar,pud,test,h,1619
ar,pud,test,q,1581
ar,pud,test,ħ,1276
ar,pud,test,d͡ʒ,1034
ar,pud,test,.,1006
ar,pud,test,",",751
ar,pud,test,ى,648
ar,pud,test,x,646
ar,pud,test,ʃ,642
ar,pud,test,ð,609
ar,pud,test,θ,513
ar,pud,test,ً,495
ar,pud,test,z,476
ar,pud,test,ɣ,447
ar,pud,test,ٔ,441
ar,pud,test,"""",309
ar,pud,test,ٍ,237
ar,pud,test,ء,235
ar,pud,test,1,220
ar,pud,test,0,206
ar,pud,test,ts,146
ar,pud,test,ٌ,114
ar,pud,test,2,108
ar,pud,test,tʃ,104
ar,pud,test,9,102
ar,pud,test,3,70
ar,pud,test,:,66
ar,pud,test,5,60
ar,pud,test,7,46
ar,pud,test,6,46
ar,pud,test,8,44
ar,pud,test,4,40
ar,pud,test,(,39
ar,pud,test,),39
ar,pud,test,ٕ,29
ar,pud,test,ـ,20
ar,pud,test,%,20
ar,pud,test,-,19
ar,pud,test,؟,14
ar,pud,test,dz,4
ar,pud,test,ٓ,3
ar,pud,test,e,2
ar,pud,test,',2
ar,pud,test,g,1
az,tuecl,test,a,297
az,tuecl,test,i,286
az,tuecl,test,d,235
az,tuecl,test,ə,214
az,tuecl,test,n,212
az,tuecl,test,r,165
az,tuecl,test,e,135
az,tuecl,test,ı,130
az,tuecl,test,m,122
az,tuecl,test,l,120
az,tuecl,test,y,100
az,tuecl,test,t,94
az,tuecl,test,.,88
az,tuecl,test,z,79
az,tuecl,test,o,73
az,tuecl,test,b,73
az,tuecl,test,k,68
az,tuecl,test,s,67
az,tuecl,test,x,65
az,tuecl,test,ş,62
az,tuecl,test,u,60
az,tuecl,test,æ,44
az,tuecl,test,v,44
az,tuecl,test,q,41
az,tuecl,test,ü,39
az,tuecl,test,g,31
az,tuecl,test,ç,30
az,tuecl,test,c,28
az,tuecl,test,p,23
az,tuecl,test,?,20
az,tuecl,test,",",20
az,tuecl,test,h,15
az,tuecl,test,ğ,14
az,tuecl,test,ö,13
az,tuecl,test,f,11
az,tuecl,test,(,4
az,tuecl,test,),4
az,tuecl,test,ts,4
az,tuecl,test,-,3
az,tuecl,test,!,2
az,tuecl,test,j,2
az,tuecl,test,̇,1
az,tuecl,test,w,1
az,tuecl,test,;,1
ca,ancora,dev,a,30632
ca,ancora,dev,ɛ,30008
ca,ancora,dev,s,19716
ca,ancora,dev,ɾ,16484
ca,ancora,dev,i,16152
ca,ancora,dev,t,13464
ca,ancora,dev,n,13347
ca,ancora,dev,l,13044
ca,ancora,dev,ɔ,11170
ca,ancora,dev,d,9879
ca,ancora,dev,k,9404
ca,ancora,dev,b,7650
ca,ancora,dev,p,6716
ca,ancora,dev,m,6447
ca,ancora,dev,u,4745
ca,ancora,dev,",",2866
ca,ancora,dev,ʒ,2826
ca,ancora,dev,',2745
ca,ancora,dev,f,2062
ca,ancora,dev,.,1871
ca,ancora,dev,ɡ,1796
ca,ancora,dev,o,1400
ca,ancora,dev,ʃ,1229
ca,ancora,dev,ʎ,998
ca,ancora,dev,e,974
ca,ancora,dev,ɲ,621
ca,ancora,dev,ŋ,613
ca,ancora,dev,t͡s,562
ca,ancora,dev,0,508
ca,ancora,dev,w,498
ca,ancora,dev,-,402
ca,ancora,dev,"""",364
ca,ancora,dev,1,356
ca,ancora,dev,t͡ʃ,256
ca,ancora,dev,ː,241
ca,ancora,dev,z,236
ca,ancora,dev,2,232
ca,ancora,dev,(,199
ca,ancora,dev,),199
ca,ancora,dev,d͡z,197
ca,ancora,dev,9,196
ca,ancora,dev,3,175
ca,ancora,dev,5,154
ca,ancora,dev,4,135
ca,ancora,dev,8,131
ca,ancora,dev,6,131
ca,ancora,dev,ķ,115
ca,ancora,dev,7,110
ca,ancora,dev,̈,101
ca,ancora,dev,d͡ʒ,87
ca,ancora,dev,:,86
ca,ancora,dev,%,68
ca,ancora,dev,ə,60
ca,ancora,dev,́,58
ca,ancora,dev,;,45
ca,ancora,dev,á,39
ca,ancora,dev,ẅ,38
ca,ancora,dev,ts,13
ca,ancora,dev,ñ,11
ca,ancora,dev,/,10
ca,ancora,dev,?,10
ca,ancora,dev,U,5
ca,ancora,dev,S,5
ca,ancora,dev,¿,5
ca,ancora,dev,x,4
ca,ancora,dev,pf,2
ca,ancora,dev,̀,2
ca,ancora,dev,¡,2
ca,ancora,dev,!,2
ca,ancora,dev,ù,2
ca,ancora,dev,ì,1
ca,ancora,test,a,31047
ca,ancora,test,ɛ,30951
ca,ancora,test,s,20187
ca,ancora,test,ɾ,17238
ca,ancora,test,i,16320
ca,ancora,test,t,13926
ca,ancora,test,l,13688
ca,ancora,test,n,13417
ca,ancora,test,ɔ,11302
ca,ancora,test,d,10338
ca,ancora,test,k,9555
ca,ancora,test,b,7700
ca,ancora,test,p,6733
ca,ancora,test,m,6722
ca,ancora,test,u,4894
ca,ancora,test,",",3033
ca,ancora,test,ʒ,2883
ca,ancora,test,',2862
ca,ancora,test,ɡ,2096
ca,ancora,test,f,2061
ca,ancora,test,.,2026
ca,ancora,test,o,1432
ca,ancora,test,ʃ,1107
ca,ancora,test,ʎ,993
ca,ancora,test,e,978
ca,ancora,test,0,611
ca,ancora,test,ŋ,591
ca,ancora,test,t͡s,591
ca,ancora,test,ɲ,590
ca,ancora,test,w,564
ca,ancora,test,1,476
ca,ancora,test,"""",456
ca,ancora,test,9,362
ca,ancora,test,-,317
ca,ancora,test,ː,303
ca,ancora,test,2,299
ca,ancora,test,t͡ʃ,265
ca,ancora,test,z,208
ca,ancora,test,d͡z,200
ca,ancora,test,(,179
ca,ancora,test,),179
ca,ancora,test,3,172
ca,ancora,test,5,167
ca,ancora,test,4,144
ca,ancora,test,8,141
ca,ancora,test,6,127
ca,ancora,test,7,113
ca,ancora,test,ķ,105
ca,ancora,test,%,104
ca,ancora,test,d͡ʒ,87
ca,ancora,test,̈,82
ca,ancora,test,;,78
ca,ancora,test,́,74
ca,ancora,test,ə,69
ca,ancora,test,:,69
ca,ancora,test,ẅ,50
ca,ancora,test,á,48
ca,ancora,test,ñ,23
ca,ancora,test,ts,23
ca,ancora,test,?,17
ca,ancora,test,/,9
ca,ancora,test,ẃ,6
ca,ancora,test,̀,4
ca,ancora,test,¿,4
ca,ancora,test,pf,4
ca,ancora,test,!,2
ca,ancora,test,̂,1
ca,ancora,test,¡,1
ca,ancora,test,x,1
ca,ancora,test,ª,1
ca,ancora,test,&,1
ca,ancora,test,[,1
ca,ancora,test,],1
ca,ancora,test,@,1
ca,ancora,train,ɛ,222423
ca,ancora,train,a,220481
ca,ancora,train,s,145506
ca,ancora,train,ɾ,120786
ca,ancora,train,i,117686
ca,ancora,train,n,98375
ca,ancora,train,t,98078
ca,ancora,train,l,97296
ca,ancora,train,ɔ,81519
ca,ancora,train,d,73442
ca,ancora,train,k,69334
ca,ancora,train,b,55005
ca,ancora,train,p,49112
ca,ancora,train,m,48991
ca,ancora,train,u,35358
ca,ancora,train,",",21537
ca,ancora,train,ʒ,21093
ca,ancora,train,',19841
ca,ancora,train,f,15347
ca,ancora,train,.,14531
ca,ancora,train,ɡ,14239
ca,ancora,train,o,9809
ca,ancora,train,ʃ,8551
ca,ancora,train,e,7226
ca,ancora,train,ʎ,7175
ca,ancora,train,0,4600
ca,ancora,train,ɲ,4303
ca,ancora,train,t͡s,4168
ca,ancora,train,ŋ,4159
ca,ancora,train,w,3844
ca,ancora,train,"""",3525
ca,ancora,train,1,3193
ca,ancora,train,-,2621
ca,ancora,train,2,2181
ca,ancora,train,9,2084
ca,ancora,train,ː,2013
ca,ancora,train,t͡ʃ,1845
ca,ancora,train,z,1616
ca,ancora,train,d͡z,1447
ca,ancora,train,5,1393
ca,ancora,train,(,1326
ca,ancora,train,),1326
ca,ancora,train,3,1246
ca,ancora,train,4,1086
ca,ancora,train,8,991
ca,ancora,train,6,954
ca,ancora,train,7,851
ca,ancora,train,ķ,797
ca,ancora,train,̈,686
ca,ancora,train,d͡ʒ,681
ca,ancora,train,%,640
ca,ancora,train,ə,553
ca,ancora,train,:,426
ca,ancora,train,́,382
ca,ancora,train,;,301
ca,ancora,train,ẅ,279
ca,ancora,train,á,278
ca,ancora,train,?,197
ca,ancora,train,¿,120
ca,ancora,train,ts,117
ca,ancora,train,ñ,116
ca,ancora,train,/,88
ca,ancora,train,̀,35
ca,ancora,train,pf,20
ca,ancora,train,!,19
ca,ancora,train,ẃ,17
ca,ancora,train,+,15
ca,ancora,train,¡,13
ca,ancora,train,U,10
ca,ancora,train,S,10
ca,ancora,train,º,9
ca,ancora,train,[,9
ca,ancora,train,],9
ca,ancora,train,x,5
ca,ancora,train,dʒ,4
ca,ancora,train,ì,4
ca,ancora,train,@,3
ca,ancora,train,&,3
ca,ancora,train,ä,2
ca,ancora,train,tʃ,2
ca,ancora,train,=,1
ca,ancora,train,#,1
ca,ancora,train,̂,1
ca,ancora,train,_,1
ca,ancora,train,·,1
de,gsd,dev,ː,12014
de,gsd,dev,ɛ,7049
de,gsd,dev,n,5165
de,gsd,dev,a,4599
de,gsd,dev,r,4310
de,gsd,dev,t,3472
de,gsd,dev,d,2745
de,gsd,dev,ɪ,2632
de,gsd,dev,i,2252
de,gsd,dev,s,1919
de,gsd,dev,̯,1908
de,gsd,dev,l,1892
de,gsd,dev,m,1565
de,gsd,dev,ʊ,1486
de,gsd,dev,f,1461
de,gsd,dev,b,1256
de,gsd,dev,ɡ,1236
de,gsd,dev,z,1181
de,gsd,dev,k,1016
de,gsd,dev,o,982
de,gsd,dev,v,931
de,gsd,dev,.,765
de,gsd,dev,ç,726
de,gsd,dev,u,692
de,gsd,dev,t͡s,682
de,gsd,dev,ɔ,653
de,gsd,dev,h,573
de,gsd,dev,p,564
de,gsd,dev,",",489
de,gsd,dev,ŋ,487
de,gsd,dev,x,430
de,gsd,dev,ʃ,387
de,gsd,dev,y,320
de,gsd,dev,e,286
de,gsd,dev,ə,204
de,gsd,dev,`,186
de,gsd,dev,j,184
de,gsd,dev,',173
de,gsd,dev,ɐ,159
de,gsd,dev,-,134
de,gsd,dev,0,110
de,gsd,dev,ts,91
de,gsd,dev,ʏ,88
de,gsd,dev,!,88
de,gsd,dev,ø,86
de,gsd,dev,œ,73
de,gsd,dev,̩,66
de,gsd,dev,1,66
de,gsd,dev,tʃ,60
de,gsd,dev,p͡f,56
de,gsd,dev,2,42
de,gsd,dev,9,40
de,gsd,dev,5,31
de,gsd,dev,),31
de,gsd,dev,(,29
de,gsd,dev,3,28
de,gsd,dev,8,25
de,gsd,dev,6,19
de,gsd,dev,4,17
de,gsd,dev,"""",16
de,gsd,dev,:,14
de,gsd,dev,7,12
de,gsd,dev,?,11
de,gsd,dev,d͡ʒ,8
de,gsd,dev,̈,8
de,gsd,dev,/,8
de,gsd,dev,€,5
de,gsd,dev,bv,4
de,gsd,dev,;,3
de,gsd,dev,q,2
de,gsd,dev,%,1
de,gsd,dev,dz,1
de,gsd,dev,t͡ʃ,1
de,gsd,test,ː,16519
de,gsd,test,ɛ,9535
de,gsd,test,n,7188
de,gsd,test,a,6195
de,gsd,test,r,5845
de,gsd,test,t,4578
de,gsd,test,d,3737
de,gsd,test,ɪ,3461
de,gsd,test,i,3258
de,gsd,test,s,2598
de,gsd,test,l,2478
de,gsd,test,̯,2462
de,gsd,test,m,2041
de,gsd,test,f,2008
de,gsd,test,ʊ,1832
de,gsd,test,ɡ,1725
de,gsd,test,b,1632
de,gsd,test,z,1583
de,gsd,test,o,1477
de,gsd,test,k,1413
de,gsd,test,v,1074
de,gsd,test,t͡s,951
de,gsd,test,ɔ,929
de,gsd,test,u,910
de,gsd,test,.,881
de,gsd,test,ç,850
de,gsd,test,ŋ,744
de,gsd,test,p,734
de,gsd,test,",",734
de,gsd,test,h,666
de,gsd,test,ʃ,617
de,gsd,test,x,580
de,gsd,test,y,483
de,gsd,test,e,299
de,gsd,test,`,299
de,gsd,test,',298
de,gsd,test,j,286
de,gsd,test,ə,269
de,gsd,test,-,255
de,gsd,test,ɐ,229
de,gsd,test,ʏ,144
de,gsd,test,ts,138
de,gsd,test,0,133
de,gsd,test,̩,123
de,gsd,test,tʃ,103
de,gsd,test,1,90
de,gsd,test,œ,89
de,gsd,test,ø,87
de,gsd,test,9,86
de,gsd,test,"""",66
de,gsd,test,),62
de,gsd,test,p͡f,61
de,gsd,test,(,57
de,gsd,test,!,52
de,gsd,test,2,51
de,gsd,test,:,51
de,gsd,test,5,46
de,gsd,test,3,31
de,gsd,test,7,27
de,gsd,test,4,26
de,gsd,test,8,26
de,gsd,test,6,24
de,gsd,test,/,17
de,gsd,test,?,15
de,gsd,test,̈,15
de,gsd,test,bv,7
de,gsd,test,d͡ʒ,7
de,gsd,test,dz,6
de,gsd,test,;,5
de,gsd,test,&,2
de,gsd,test,€,1
de,gsd,test,+,1
de,gsd,train,ː,275964
de,gsd,train,ɛ,153593
de,gsd,train,n,110566
de,gsd,train,a,100884
de,gsd,train,r,95983
de,gsd,train,t,74528
de,gsd,train,d,63760
de,gsd,train,i,54546
de,gsd,train,ɪ,53767
de,gsd,train,l,43962
de,gsd,train,s,43501
de,gsd,train,̯,39856
de,gsd,train,f,33640
de,gsd,train,m,33004
de,gsd,train,ʊ,29090
de,gsd,train,o,27446
de,gsd,train,b,27034
de,gsd,train,ɡ,26865
de,gsd,train,z,24453
de,gsd,train,k,23871
de,gsd,train,u,17786
de,gsd,train,v,17181
de,gsd,train,t͡s,15462
de,gsd,train,.,14297
de,gsd,train,ɔ,12858
de,gsd,train,p,11953
de,gsd,train,ŋ,11397
de,gsd,train,ç,10822
de,gsd,train,",",10690
de,gsd,train,ʃ,10190
de,gsd,train,h,10182
de,gsd,train,x,8689
de,gsd,train,y,7245
de,gsd,train,j,4991
de,gsd,train,1,4861
de,gsd,train,e,4498
de,gsd,train,-,4255
de,gsd,train,ə,4099
de,gsd,train,0,3876
de,gsd,train,ɐ,3575
de,gsd,train,9,3261
de,gsd,train,ʏ,2480
de,gsd,train,2,2248
de,gsd,train,ø,2184
de,gsd,train,ts,1886
de,gsd,train,"""",1803
de,gsd,train,),1783
de,gsd,train,(,1764
de,gsd,train,̩,1616
de,gsd,train,8,1576
de,gsd,train,5,1423
de,gsd,train,œ,1357
de,gsd,train,3,1259
de,gsd,train,6,1251
de,gsd,train,7,1215
de,gsd,train,4,1202
de,gsd,train,tʃ,1034
de,gsd,train,p͡f,822
de,gsd,train,',518
de,gsd,train,:,479
de,gsd,train,`,362
de,gsd,train,!,327
de,gsd,train,/,273
de,gsd,train,́,237
de,gsd,train,;,179
de,gsd,train,bv,125
de,gsd,train,?,120
de,gsd,train,̈,118
de,gsd,train,%,105
de,gsd,train,d͡ʒ,95
de,gsd,train,dz,90
de,gsd,train,̄,58
de,gsd,train,̂,49
de,gsd,train,š,40
de,gsd,train,q,37
de,gsd,train,&,34
de,gsd,train,ǩ,34
de,gsd,train,t͡ʃ,31
de,gsd,train,°,31
de,gsd,train,²,30
de,gsd,train,̀,26
de,gsd,train,=,26
de,gsd,train,̨,22
de,gsd,train,̊,22
de,gsd,train,͡,21
de,gsd,train,[,19
de,gsd,train,ł,17
de,gsd,train,],17
de,gsd,train,+,15
de,gsd,train,«,14
de,gsd,train,»,14
de,gsd,train,ś,13
de,gsd,train,ř,12
de,gsd,train,̆,12
de,gsd,train,ş,11
de,gsd,train,ı,11
de,gsd,train,pf,10
de,gsd,train,*,10
de,gsd,train,æ,10
de,gsd,train,†,9
de,gsd,train,ḱ,9
de,gsd,train,μ,9
de,gsd,train,×,9
de,gsd,train,_,8
de,gsd,train,̌,8
de,gsd,train,е,7
de,gsd,train,ń,7
de,gsd,train,€,6
de,gsd,train,ð,6
de,gsd,train,α,5
de,gsd,train,̃,5
de,gsd,train,т,4
de,gsd,train,§,4
de,gsd,train,{,4
de,gsd,train,|,4
de,gsd,train,},4
de,gsd,train,→,4
de,gsd,train,·,4
de,gsd,train,$,3
de,gsd,train,̇,3
de,gsd,train,½,3
de,gsd,train,#,3
de,gsd,train,σ,3
de,gsd,train,̉,3
de,gsd,train,ţ,3
de,gsd,train,в,3
de,gsd,train,а,2
de,gsd,train,о,2
de,gsd,train,н,2
de,gsd,train,л,2
de,gsd,train,δ,2
de,gsd,train,ρ,2
de,gsd,train,ʿ,2
de,gsd,train,ω,2
de,gsd,train,³,2
de,gsd,train,λ,2
de,gsd,train,̣,2
de,gsd,train,þ,2
de,gsd,train,£,2
de,gsd,train,đ,2
de,gsd,train,µ,2
de,gsd,train,̋,2
de,gsd,train,ш,2
de,gsd,train,ц,2
de,gsd,train,ʂ,2
de,gsd,train,™,1
de,gsd,train,ď,1
de,gsd,train,ṡ,1
de,gsd,train,м,1
de,gsd,train,у,1
de,gsd,train,с,1
de,gsd,train,к,1
de,gsd,train,γ,1
de,gsd,train,ϊ,1
de,gsd,train,ο,1
de,gsd,train,ν,1
de,gsd,train,ί,1
de,gsd,train,ι,1
de,gsd,train,ľ,1
de,gsd,train,ḥ,1
de,gsd,train,ṯ,1
de,gsd,train,ά,1
de,gsd,train,π,1
de,gsd,train,ķ,1
de,gsd,train,÷,1
de,gsd,train,ה,1
de,gsd,train,ש,1
de,gsd,train,ם,1
de,gsd,train,κ,1
